stride_interval,stride_variability,swing_time,stance_time,double_support_time,gait_speed,cadence,step_length,stride_regularity,gait_asymmetry,status
1.0211,0.0349,0.3042,0.2097,0.206,4.6417,116.8853,2.3863,0.9149,0.0,0
1.1732,0.0849,0.3558,0.2325,0.2294,3.8183,101.994,2.2434,0.8456,-0.0001,0
0.9965,0.164,0.334,0.1737,0.1682,4.7049,117.9177,2.3943,0.8312,0.0165,1
1.2195,0.1716,0.3753,0.24,0.2381,3.5792,97.4283,2.2013,0.6693,0.0155,0
0.9547,0.0894,0.2432,0.2352,0.2294,5.173,125.8153,2.4643,0.9017,0.0,1
1.1925,0.1056,0.3612,0.2417,0.2356,3.6801,99.4663,2.2194,0.8379,0.0158,0
1.1568,0.0885,0.3593,0.2246,0.2205,3.858,102.8052,2.2532,0.7822,0.005,0
1.1186,0.0903,0.353,0.2102,0.2089,4.0468,106.496,2.2853,0.7957,0.0049,0
1.091,0.1365,0.3616,0.1935,0.1534,4.1783,108.238,2.3075,0.8499,0.0136,1
1.2633,0.1213,0.3616,0.2702,0.2671,3.4478,95.0961,2.1747,0.8309,0.0003,0
0.9761,0.1437,0.2869,0.2051,0.1997,4.9635,122.3837,2.4322,0.8852,0.0042,1
1.149,0.2261,0.3667,0.2144,0.1956,3.901,103.5013,2.2593,0.8487,0.0048,1
1.1494,0.0633,0.3,0.2721,0.2623,3.985,105.0285,2.2735,0.886,0.0002,1
0.8988,0.0744,0.2145,0.2362,0.2324,5.6371,133.6995,2.5372,0.8131,0.0,1
1.0348,0.076,0.3256,0.1912,0.1898,4.5803,115.8261,2.3763,0.8183,0.0005,0
1.0628,0.0851,0.3415,0.196,0.1909,4.3914,112.2201,2.3433,0.7539,0.0043,0
1.0109,0.0538,0.2931,0.2109,0.2116,4.7597,118.6017,2.4045,0.8678,-0.0006,0
1.0226,0.0285,0.305,0.2085,0.2059,4.6503,116.7816,2.3862,0.9131,-0.0003,0
1.0316,0.2459,0.3466,0.1818,0.1802,4.4366,113.5352,2.3551,0.6734,0.0307,1
1.2762,0.1631,0.3008,0.3425,0.3327,3.345,92.9432,2.1543,0.822,0.0112,1
1.1205,0.0926,0.2827,0.2832,0.2815,4.0306,105.9183,2.2833,0.8104,0.0095,1
1.028,0.2086,0.3699,0.1624,0.158,4.4175,112.6584,2.3488,0.6681,0.0255,1
1.0528,0.0993,0.3018,0.234,0.2308,4.383,112.2119,2.3436,0.8991,0.0132,1
1.2771,0.1637,0.3017,0.3423,0.3318,3.3395,93.0521,2.1559,0.8217,0.0104,1
0.9891,0.4498,0.2892,0.2598,0.2557,4.2279,109.4405,2.3168,0.7254,0.1049,1
1.1696,0.0637,0.3482,0.2342,0.2263,3.861,102.9853,2.2542,0.8021,0.0002,0
1.0912,0.1305,0.3604,0.1924,0.1533,4.1768,108.4249,2.3064,0.8509,0.0136,1
1.4455,0.315,0.3254,0.4122,0.4013,2.744,81.035,2.0243,0.7116,0.0252,1
0.9528,0.083,0.2425,0.2334,0.2299,5.1709,125.7405,2.466,0.9015,-0.0,1
1.0427,0.1594,0.3319,0.2001,0.1984,4.4108,112.7533,2.3493,0.7903,0.0177,0
2.0299,6.7722,0.6597,0.3453,0.3394,1.7556,59.6834,1.7658,0.5171,0.0091,0
1.0427,0.2281,0.2445,0.2993,0.2856,4.2807,110.3993,2.3256,0.8983,0.0317,1
1.0379,0.1022,0.3252,0.2001,0.1982,4.5221,114.4441,2.3641,0.8637,0.0041,0
1.1466,0.0582,0.2995,0.2727,0.2628,3.9738,104.9362,2.274,0.8874,-0.0002,1
0.987,0.4536,0.2897,0.2597,0.2561,4.2247,109.4923,2.3149,0.7237,0.1047,1
1.1931,0.1005,0.3617,0.2414,0.236,3.6829,99.3351,2.2199,0.8372,0.0152,0
1.9145,0.2119,0.4131,0.5419,0.5168,1.8874,62.9344,1.8056,0.8186,0.0084,1
1.1576,0.1797,0.2915,0.2925,0.2865,3.8373,102.553,2.2485,0.8872,0.0141,1
0.9881,0.0963,0.2899,0.2091,0.2049,4.8749,120.9507,2.4214,0.7947,0.0004,1
1.1156,0.0235,0.3075,0.2473,0.2423,4.147,107.7254,2.3022,0.905,-0.0004,1
1.1176,0.1075,0.3523,0.2102,0.2074,4.0434,106.6736,2.2902,0.7956,0.005,0
1.0332,0.0658,0.3257,0.1921,0.189,4.5845,115.7841,2.3767,0.8164,0.0005,0
1.2541,0.0539,0.3113,0.314,0.3073,3.4931,96.0511,2.1866,0.9044,-0.0,1
1.0378,0.0944,0.3091,0.2157,0.2127,4.514,114.423,2.3643,0.8786,0.0129,0
